,DISTORTION
0,1.0113902962251238
1,1.0009113197349002
2,1.0079063886910766
3,1.0452876846908647
4,1.0000000000000002
5,1.003482977350451
6,1.0413191489452014
7,1.01409939987274
8,1.002496599716103
9,1.0100558089930713
10,1.0224022115698523
11,1.0000000000000002
12,1.0
13,1.031385857789499
14,1.0217878015440902
15,1.020842594271148
16,1.0059379717487988
17,1.0725784055129803
18,1.024110368923916
19,1.0044895350388483
20,1.0106485045109332
21,1.0444201425204436
22,1.0015489405471354
23,1.0196250348251137
24,1.0085473649060346
25,1.0178826211616734
26,1.002149856986426
27,1.003353832341764
28,1.0141524427418755
29,1.004730991154203
30,1.0283938978297866
31,1.0558307815701489
32,1.0230691914857786
33,1.0027858432477768
34,1.0095593566334016
35,1.005097870812306
36,1.0213428405125446
37,1.021331210350105
38,1.0083091532167932
39,1.00098470165014
40,1.0149809242177665
41,1.025536723982423
42,1.0088025493047954
43,1.1016584489236658
44,1.0078652726248996
45,1.037678505101285
46,0.9999999999999998
47,1.00182435639927
48,1.047115704271713
49,1.0027422637182517
50,1.0251724175621866
51,1.0153233971823354
52,1.0442709797840384
53,1.0252431311660033
54,1.0053748982404023
55,1.0061144551127785
56,1.0404562787426437
57,1.0865156315407976
58,1.0
59,1.009316639983732
60,1.0070873727553094
61,1.0714399493193654
62,1.0062222365859772
63,1.0212315168690833
64,1.0705876236372678
65,1.0350578431193997
66,1.0181085091854871
67,1.0415258944600023
68,1.0133806884556664
69,1.035156380220624
70,1.0155850796853005
71,1.0491352234233329
72,0.9999999999997289
73,1.0416269618359655
74,1.0181198526905333
75,1.0083203648625483
76,1.000000000345131
77,1.0214325523103238
78,1.0149922261075557
79,1.0315360789066956
80,1.0456105915809495
81,1.0014217450985836
82,1.0045836538363329
83,1.0034386440869836
84,1.0186182881194157
85,1.0023401352575327
86,1.0431670365414474
87,1.032012845344679
88,1.0098607998708857
89,1.0070933178826638
90,1.0107526733010217
91,1.0072239646008836
92,1.0217213299451586
93,0.9999999999999999
94,1.0015014871172767
95,1.0084060439997191
96,1.0302091956905064
97,1.000581463033424
98,1.0038470014004401
99,1.0302589145361887
