,func,n,d,dataset_num,title,optimal,mean,optimal_sc,mean_sc,distortion,n_clusters,noise,weights
0,random,10,3,0,func-random_n-10_d-3,"[0.3393717099472867, 0.396227878842692, 0.2644004112235031]","[0.3359702364917406, 0.39012159176962136, 0.273908171738638]",2.6876350333291934,2.6876350333291934,1.0,,,
1,random,10,3,0,func-random_n-10_d-3,"[0.4098823654616847, 0.3396705176119351, 0.2504471169274201]","[0.3981356507579149, 0.3060536484315688, 0.2958107008105163]",4.028150484556588,4.104174693640368,1.018873229631129,,,
2,random,10,3,0,func-random_n-10_d-3,"[0.28116916550837295, 0.37976634747086846, 0.3390644870210146]","[0.2836262191544809, 0.38397608254797844, 0.3323976982975408]",4.132402090757798,4.132402090757798,1.0,,,
3,random,10,3,0,func-random_n-10_d-3,"[0.23486792581622237, 0.4783907869325833, 0.286741287256393]","[0.26271210615600643, 0.44350530048943193, 0.2937825933545616]",5.997373832621502,6.001647102200483,1.0007125234641432,,,
4,random,10,3,0,func-random_n-10_d-3,"[0.2599772929575416, 0.49118053649613946, 0.2488421705494177]","[0.2733135039342204, 0.46292779573545495, 0.26375870033032445]",5.689380003361891,5.689380003361891,1.0,,,
5,random,10,3,0,func-random_n-10_d-3,"[0.43524342006560907, 0.3058116799204063, 0.2589449000163695]","[0.45470226240928263, 0.3038330768574528, 0.2414646607332646]",4.107550449687918,4.142264624432975,1.0084513081872664,,,
6,random,10,3,0,func-random_n-10_d-3,"[0.32351707201348184, 0.39523371775251404, 0.2812492102351416]","[0.3318976088830062, 0.34824265264917587, 0.319859738467818]",2.3519280230472503,2.5445641842185074,1.0819056362624866,,,
7,random,10,3,0,func-random_n-10_d-3,"[0.36247570174893995, 0.196366206051832, 0.44115809220224445]","[0.3615360123081499, 0.20088333983302462, 0.43758064785882544]",3.8103906734619355,3.814932391182357,1.0011919296758867,,,
8,random,10,3,0,func-random_n-10_d-3,"[0.2516526711811298, 0.38798568765090913, 0.3603616411875716]","[0.24239334311202443, 0.3752468516034045, 0.3823598052845712]",3.744516488417477,3.7698367760076796,1.006761964506906,,,
9,random,10,3,0,func-random_n-10_d-3,"[0.13513271613468553, 0.40418355301340386, 0.4606837308522436]","[0.2291001229332046, 0.31988321279529053, 0.4510166642715049]",4.706166016999491,5.048128219411405,1.0726625880125533,,,
10,random,10,3,0,func-random_n-10_d-3,"[0.37620381707429645, 0.3289236832034017, 0.2948724997231935]","[0.3548278705932075, 0.3688234383144956, 0.276348691092297]",4.398930400233931,4.474799128705454,1.0172470854431996,,,
11,random,10,3,0,func-random_n-10_d-3,"[0.4189256697953392, 0.22445549938223586, 0.35661883082787355]","[0.47152109915274093, 0.22591103002833995, 0.30256787081891917]",3.546622990757011,3.652617494550805,1.0298860363985771,,,
12,random,10,3,0,func-random_n-10_d-3,"[0.4046059491045795, 0.26979529162872024, 0.3255987594815757]","[0.37311141588247965, 0.2679059706092616, 0.35898261350825866]",4.752047568881576,4.752047568451825,0.9999999999095652,,,
13,random,10,3,0,func-random_n-10_d-3,"[0.3731947491239435, 0.2359846199156956, 0.3908206309647419]","[0.3368541037456111, 0.28925252920008954, 0.3738933670542993]",4.895286981431435,4.986997401097363,1.0187344317123386,,,
14,random,10,3,0,func-random_n-10_d-3,"[0.40921212105787774, 0.23138696481498522, 0.3594009168037611]","[0.41271809061692866, 0.2682607594739153, 0.3190211499091561]",4.592825409677121,4.661869133816348,1.0150329520459782,,,
15,random,10,3,0,func-random_n-10_d-3,"[0.21081404975241874, 0.2295993046095833, 0.5595866456393381]","[0.2583549657641237, 0.2591480890805435, 0.4824969451553328]",4.980389408780678,5.177503103576341,1.0395779684311715,,,
16,random,10,3,0,func-random_n-10_d-3,"[0.32182335518933525, 0.3773260991411242, 0.30085054566995406]","[0.3090848991976752, 0.3721333828849801, 0.3187817179173447]",4.309110479149524,4.346653895603294,1.0087125676251354,,,
17,random,10,3,0,func-random_n-10_d-3,"[0.30030816214150613, 0.3272021895343817, 0.372489648326645]","[0.2878038446933382, 0.35798016668653915, 0.35421598862012266]",3.6531515593921724,3.724755114054626,1.0196004883723924,,,
18,random,10,3,0,func-random_n-10_d-3,"[0.27543628625560507, 0.3363897009014955, 0.3881740128430314]","[0.2871667663493264, 0.3340403018079675, 0.378792931842706]",5.101999843159028,5.116240259493453,1.0027911440165014,,,
19,random,10,3,0,func-random_n-10_d-3,"[0.337662079776662, 0.4386355677485274, 0.22370235247500922]","[0.3370777987258358, 0.4346678272132641, 0.22825437406090016]",3.646064312335659,3.6507049906659255,1.0012727911338715,,,
20,random,10,3,0,func-random_n-10_d-3,"[0.4482217773594051, 0.37333962097909335, 0.17843860168270534]","[0.38313576173070246, 0.360764773077458, 0.25609946519183946]",3.9641284765986704,4.110326077494173,1.0368801368973146,,,
21,random,10,3,0,func-random_n-10_d-3,"[0.36531148082510934, 0.4103372787670695, 0.22435124041234783]","[0.34205549495426607, 0.3867201097426867, 0.2712243953030473]",4.8017762920255525,4.891185457577312,1.0186200189501216,,,
22,random,10,3,0,func-random_n-10_d-3,"[0.2196123007653888, 0.41765955285013345, 0.3627281468231724]","[0.28854495293514665, 0.35922477489072147, 0.352230272174132]",5.290793519694066,5.470092379673436,1.0338888409294298,,,
23,random,10,3,0,func-random_n-10_d-3,"[0.24019304750789808, 0.3856781153200485, 0.3741288371731861]","[0.2943735376897979, 0.36767468878274545, 0.3379517735274567]",2.7550600896741706,2.897728930156541,1.0517842935684365,,,
24,random,10,3,0,func-random_n-10_d-3,"[0.3173245826197824, 0.389008044909327, 0.2936673729439388]","[0.27104145736837665, 0.41156856432680133, 0.3173899783048221]",5.048081697135692,5.152125063830143,1.020610476005863,,,
25,random,10,3,0,func-random_n-10_d-3,"[0.33014463888598494, 0.2882338920909272, 0.38162146903529526]","[0.388691428659789, 0.30634800521550154, 0.30496056612470934]",4.507698802386253,4.679458930780138,1.0381037278495537,,,
26,random,10,3,0,func-random_n-10_d-3,"[0.21578245970695373, 0.44183016562267063, 0.34238737467283986]","[0.2819834139941505, 0.416333213119474, 0.3016833728863755]",3.8857492522552253,4.190459571442025,1.0784173911916604,,,
27,random,10,3,0,func-random_n-10_d-3,"[0.24710925589665203, 0.3815930461162641, 0.3712976992458829]","[0.23479011778978442, 0.39763068765461884, 0.36757919455559673]",3.3896669897143856,3.3956471737272063,1.0017642393872221,,,
28,random,10,3,0,func-random_n-10_d-3,"[0.3544575912888324, 0.3435808323921638, 0.30196157632051573]","[0.32525663793161985, 0.3446753963378658, 0.3300679657305143]",4.656416454811247,4.68788064022857,1.0067571673888431,,,
29,random,10,3,0,func-random_n-10_d-3,"[0.263944842251212, 0.3177335714078156, 0.4183215882745483]","[0.30577980277048517, 0.3136556538845932, 0.3805645433449217]",3.970587032845248,4.107530615544838,1.0344895053468854,,,
30,random,10,3,0,func-random_n-10_d-3,"[0.2689126065449824, 0.43709951203426, 0.2939878814399564]","[0.33002380322318825, 0.34509295416459557, 0.3248832426122161]",4.0117865869714775,4.1997368474667525,1.0468495161496514,,,
31,random,10,3,0,func-random_n-10_d-3,"[0.3628107289445991, 0.37019244553194636, 0.2669968255259464]","[0.4193804310089665, 0.3031482505732437, 0.27747131841778977]",4.480679442290317,4.643620103917749,1.0363651682130033,,,
32,random,10,3,0,func-random_n-10_d-3,"[0.23802961753871135, 0.430582725355728, 0.33138765710678914]","[0.25883813200113465, 0.39066258227990763, 0.3504992857189577]",3.207064291547205,3.304080299955503,1.030250721403996,,,
33,random,10,3,0,func-random_n-10_d-3,"[0.31284858803398286, 0.32404262806437667, 0.36310878390434653]","[0.29657469826018895, 0.31766495667161687, 0.38576034506819423]",5.86932728571634,5.88379724183227,1.0024653517194628,,,
34,random,10,3,0,func-random_n-10_d-3,"[0.3634824311496183, 0.2583717518108305, 0.3781458179033398]","[0.34194040427260164, 0.23307290320772772, 0.4249866925196706]",4.22584546287364,4.2886182514076,1.0148544922159253,,,
35,random,10,3,0,func-random_n-10_d-3,"[0.2511819879413437, 0.4470084038489029, 0.3018096082108636]","[0.2670231584303181, 0.44489766427706395, 0.2880791772926179]",5.191673004948747,5.191673004950967,1.0000000000004277,,,
