func,n,d,n_clusters,noise,weights,centers,dataset_num,title,optimal,mean,optimal_sc,mean_sc,distortion
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.05243688007260065, 0.8876736486984491, 0.05988947437823373]","[0.21164499216178817, 0.5647030403134706, 0.22365196752474115]",39.41149048504683,50.04433682827916,1.2697905157194334
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.053028990550256005, 0.9161738928253699, 0.03079711756592108]","[0.2173925238839886, 0.5735012387221844, 0.20910623739382697]",39.65996566079947,51.6579198358754,1.302520538663373
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.049700492684019756, 0.8999471991496973, 0.05035231057993353]","[0.21233695419461282, 0.5710635899124222, 0.21659945589296484]",38.894643413018635,49.98101207885852,1.2850358736578391
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.04231483348174141, 0.8842875689758001, 0.07339759754466837]","[0.21206278324644548, 0.5639752387503211, 0.2239619780032335]",39.24520656174279,49.97454269291895,1.273392270576947
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.05359325831092816, 0.8957748794362596, 0.050631862264409286]","[0.20975204926149402, 0.5732588298326078, 0.21698912090589842]",39.089779825164335,49.87560970321304,1.275924549237426
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.03921533826018771, 0.9043920400667443, 0.05639262168146881]","[0.20921197630439292, 0.5796230748214019, 0.21116494887420528]",39.317494576414916,50.42650600324172,1.2825462697079046
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.05083825189345115, 0.9091050377306716, 0.040056710379459085]","[0.21964463798112394, 0.5707583533245404, 0.20959700869433573]",39.44771446483814,50.785748943432225,1.2874193000129395
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.05536989859599844, 0.9094991624109784, 0.03513093904345308]","[0.2131188612395389, 0.5772064906802334, 0.20967464808022762]",38.95709908634528,49.68701717587831,1.2754290833039448
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.025042657158685908, 0.9228218361757767, 0.052135507832264394]","[0.19840016629119617, 0.5840738811214647, 0.21752595258733898]",38.689484543910794,50.44346554319158,1.3038029877586133
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.04121509775865551, 0.9059774338939882, 0.05280746838095136]","[0.20141971173967466, 0.5809257985492833, 0.21765448971104207]",38.9282434840583,50.147544845648426,1.288204664723303
