,DISTORTION
0,1.0001434489559333
1,1.0050426566461468
2,1.00101421796191
3,1.001488452569393
4,1.0017698874639147
5,1.0010720746908703
6,1.0053217766424838
7,1.0016931499268587
8,1.000233822003205
9,1.0003772980746102
10,1.0000814189826621
11,1.0008765959384482
12,1.0003089061411639
13,1.0033702584651827
14,1.0023499956146389
15,1.0005768548304566
16,1.0040899335965188
17,1.0123289093163512
18,1.001047420197737
19,1.0008334903376888
20,1.0045531312394158
21,1.0012115045198922
22,1.0082348672511339
23,1.0065195424701638
24,1.005648045044017
25,1.001807687113468
26,1.0028506479842478
27,1.0000732419283926
28,1.0007063690884157
29,1.0015601740763675
30,1.00098544925466
31,1.0024494455198731
32,1.000063072215116
33,1.0009170358552815
34,1.0031872017270982
35,1.000232186323594
36,1.0060534388945002
37,1.001326149247657
38,1.0004820584521614
39,1.0005057828714414
40,1.000437300002849
41,1.0023906977880148
42,1.0013942699046119
43,1.0011566181933103
44,1.00025060307249
45,1.0018369987814473
46,1.0001393198884168
47,1.0038968255949818
48,1.000673060347497
49,1.002335485379202
50,1.0011297038460627
51,1.0039117271492677
52,1.0020382866002089
53,1.0015872156840373
54,1.0015785716465453
55,1.0017126903983418
56,1.001647978300376
57,1.0006637033033128
58,1.0007272633250752
59,1.0042412499647662
60,1.0001436760865114
61,1.0006366528101531
62,1.004534679389609
63,1.0060506775514653
64,1.0026925800536437
65,1.000881983749781
66,1.0023762876714524
67,1.001753889503309
68,1.0018278381053727
69,1.0001759414172988
70,1.0021821745168726
71,1.0005383101752503
72,1.0018843393933954
73,1.0005323418875196
74,1.000540018703673
75,1.0005881739741571
76,1.001225989274569
77,1.0021186293480329
78,1.0006637982258608
79,1.0016714320704163
80,1.0013723766235845
81,1.0026251102063237
82,1.000585765633864
83,1.001074984093692
84,1.000611453586905
85,1.0009931100736682
86,1.0001608936492707
87,1.0018684550828574
88,1.0048433509647285
89,1.000416944277289
90,1.0013558667987306
91,1.0001668869715643
92,1.0025181501758058
93,1.000088342514435
94,1.0010108179301829
95,1.0022220911385593
96,1.008260567693195
97,1.0047675542874648
98,1.0007290592416993
99,1.0011466729795233
